PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
02-16-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,25.209931,24.802242,,24.169708,24.068241,24.796923,28.192731,81.258086,40.193188,46.278283,29.379132,33.773473,38.811454,27.113511,24.199399,23.351441,22.960908,23.40965,28.634536,32.891114,27.662741,31.697189,30.796155,25.828961,20.43264
02-17-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,16.566921,16.164284,,16.984314,17.29061,18.232921,20.8647,34.518347,22.702166,22.356031,23.110477,23.481811,22.599543,21.072582,20.686841,19.618865,19.901833,21.650524,21.482913,24.508085,24.435163,26.145704,23.435491,24.403679,23.237782
02-18-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.001308,21.048149,,20.378554,19.97275,19.889859,22.10361,25.992143,25.52641,23.469621,22.022467,22.127115,21.578402,20.467827,18.489773,15.313663,18.66574,19.255638,20.013683,22.76708,22.901103,22.445786,22.216823,20.484878,19.261966
07-29-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.868521,20.745085,,20.022388,18.195988,19.230625,19.212373,19.197143,16.627824,20.615277,21.717084,22.740803,22.821869,23.189588,23.675114,25.080328,27.636032,27.24895,30.62178,32.51458,27.10375,23.581543,23.326388,20.827543,17.526402
07-30-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,18.638269,20.249099,,19.336106,15.532639,17.736624,17.589276,1.715999,7.939259,7.35394,21.249736,21.702106,24.448596,31.265189,39.128093,75.648482,39.992109,87.196513,84.309091,77.596467,42.402404,39.922374,32.93667,22.717662,21.084269
07-31-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,18.478802,18.985721,,18.033351,17.613321,18.069247,19.940269,20.133188,20.91024,22.474551,24.39944,32.777708,31.56076,28.588271,33.051827,39.029858,57.768661,94.371571,59.74801,44.296407,51.803667,45.129503,33.032968,27.655322,24.113306
08-01-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.058151,19.447484,,18.449321,18.129351,18.162551,18.629855,20.226536,21.916344,20.650373,25.965974,28.3815,29.127101,33.014983,42.316125,32.449605,32.181503,31.29839,28.494685,29.849767,28.512463,29.079663,29.509174,26.70267,23.603159
04-16-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.62409,20.819178,,16.889312,14.562497,18.87168,15.825902,20.400609,18.388196,20.334693,23.060317,24.314433,33.117275,22.896811,19.795519,21.11607,28.457561,24.623855,22.099812,21.224061,21.983092,31.115634,34.306508,21.632097,19.677502
04-17-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,15.032606,17.324183,,15.649063,17.995156,18.44892,20.162976,16.941123,16.917814,18.653835,21.66858,22.27578,21.909745,80.773756,21.295465,31.863572,21.424864,24.496403,30.561504,25.79273,24.487886,41.754805,82.865829,27.741084,20.314905
04-18-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,18.603542,20.682416,,21.930698,19.952401,21.048609,19.869358,10.677126,22.723756,29.366017,30.486266,59.764014,31.752761,24.88955,69.794622,57.391352,25.767043,188.267372,34.072695,36.423871,23.582855,28.199593,70.360012,73.526339,22.592357
04-19-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,18.01055,14.809263,,15.89156,14.128234,19.911288,17.944437,21.240573,25.386346,30.084462,29.411794,27.746819,32.388345,58.295893,53.336442,31.895455,25.996226,26.151485,27.060495,48.269338,22.054601,47.14851,48.79276,23.595232,22.52609
04-20-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.440757,16.571616,,15.573292,14.056102,15.93745,18.340418,23.0341,25.348044,25.991677,27.584067,29.128378,79.398543,63.296179,32.600242,28.108481,30.339787,50.839155,80.117221,28.661619,25.589114,39.802328,24.965814,23.8543,21.867575
04-21-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,21.512684,20.696437,,19.706544,19.004171,23.580375,21.627495,20.430923,48.195433,81.085117,27.620034,28.408776,35.022068,38.717947,52.391281,34.472628,26.687668,21.530848,25.066349,82.20371,31.958572,63.329424,45.300491,26.965078,21.547584
04-22-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.359742,19.699707,,17.844821,19.193573,20.488548,27.452639,26.938319,22.85439,43.565204,25.955619,61.578793,25.372328,26.212744,25.640227,29.365826,24.914566,24.911499,22.852684,22.628003,22.226833,22.860611,23.619543,23.154922,21.979053
01-20-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.674404,21.972093,,22.020004,22.123604,23.358944,25.427833,25.135432,27.985177,30.312261,61.638611,30.159631,27.862441,26.8339,31.321822,25.966271,24.766832,24.794299,25.317438,25.616245,25.079375,23.865229,22.51573,20.506804,19.629574
01-21-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,18.616403,18.396285,,18.490418,17.037662,19.002626,18.830107,19.25907,21.124389,21.444078,21.253529,22.205514,22.394122,21.411588,20.194462,20.792359,20.904699,21.435203,22.644625,22.56144,22.385662,22.491025,21.292654,19.939795,19.433588
01-22-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.469025,18.934699,,19.642966,19.015929,18.467069,19.102714,16.684699,18.95584,19.693914,21.974152,21.615648,21.64424,21.114966,20.749825,20.423914,20.571633,21.029218,22.201085,23.386093,21.364922,21.133381,21.061589,19.707292,15.851928
01-23-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,12.672313,13.658239,,14.207972,12.904609,16.319988,18.48627,22.42762,22.263458,22.704746,24.155679,23.832938,24.734672,26.033783,25.476421,25.227858,24.973962,25.813949,26.498896,28.285325,26.56442,26.070538,25.560879,23.347174,22.139737
01-24-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,22.974849,23.2863,,22.679945,22.498923,23.41079,24.109546,27.484733,49.926884,26.626449,29.852124,28.580657,27.222109,29.427473,28.323176,27.043324,25.986894,27.43294,27.874154,31.501621,29.53928,27.207636,27.426273,23.652568,21.403309
01-25-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,20.867901,20.977012,,20.980627,20.862523,20.750464,21.929842,23.665784,26.203207,25.027991,23.534657,22.135679,21.431309,21.449412,21.233917,21.050672,20.803724,20.935265,25.854718,24.390051,23.849991,23.154198,21.993857,19.693442,18.686093
01-26-2017,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,18.446197,19.089456,,18.753367,19.057189,18.923308,19.721382,24.4926,23.938495,23.947265,24.500939,24.212377,24.730228,23.217146,23.346791,23.06762,23.221561,23.805976,33.54552,29.830215,26.737221,25.878302,23.247635,21.655545,20.633352
02-26-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,19.51378,19.265588,,18.768373,19.10538,20.226684,20.267041,22.635845,24.891248,24.108004,23.97581,26.800566,26.290626,24.322151,23.713307,23.826536,23.344625,22.898803,22.833085,24.011456,24.205797,24.77291,24.582026,24.550553,23.38319
02-27-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,24.98719,23.624671,,22.811871,22.977472,20.162162,24.598591,21.878611,17.005079,10.087445,19.303048,20.618865,18.832169,16.903148,17.504056,14.709647,12.966267,13.711352,15.012073,12.946885,17.225881,17.087532,13.042274,13.471183,13.34685
02-28-2016,0,null,33092313,CHICAGO HUB,AGGREGATE,TotalLMP,13.585239,7.145556,,8.942845,5.145458,-0.55632,-1.64721,-0.334626,5.941219,4.766524,8.826272,11.913187,10.461586,9.72692,9.618446,8.931393,11.494031,12.315024,12.16575,22.051826,20.287232,16.633617,14.411987,10.990208,10.510386
